2017-09-07 16:46:37:2686	../../../files/testListWithPickListSize100.txt
InstanceNumber	DistanceMatrixRunningTime	GACycleSwapTotalDistance	GACycleSwapRunningTime	GACycleInversionTotalDistance	GACycleInversionRunningTime	GAOrderedSwapTotalDistance	GAOrderedSwapRunningTime	GAOrderedInversionTotalDistance	GAOrderedInversionRunningTime	GAPMXSwapTotalDistance	GAPMXSwapRunningTime	GAPMXInversionTotalDistance	GAPMXInversionRunningTime	SShapeTravelledTotalDistance	SShapeRunningTime	LargestGapTravelledTotalDistance	LargestGapRunningTime
130	562.884	2284.01999999999	311.532	1748.16	526.267	1896.93999999999	59.323	1572.82	35.846	2332.67999999999	120.708	1607.34	154.195	2098.38	0.001	1783.28	0.002
131	563.125	2306.27999999999	201.867	1610.34	464.792	2153.39999999999	42.65	1484.62	47.687	2139.77999999999	151.122	1557.06	177.901	2110	0.001	1700.52	0.002
132	561.899	2311.45999999999	309.855	1664	459.16	1969.14	43.893	1581.98	52.277	2365.81999999999	133.944	1150.36	161.087	2258.76	0.001	1871.24	0.002
133	563.753	2391.09999999999	290.032	1511.4	642.473	2276.29999999999	53.239	1873.98	44.867	2133.71999999999	127.204	1564.22	147.088	2081.9	0.001	1828.28	0.002
134	563.237	2447.41999999999	274.977	1779.97999999999	541.435	1999.27999999999	36.649	1612.58	57.296	2017.11999999999	186.641	1595.02	126.513	1977.46	0.001	1589.38	0.002
135	563.409	2582.73999999999	250.585	1833.64	652.129	2374.01999999999	33.331	1413.8	52.074	2292.63999999999	189.2	1561.2	157.684	2092.98	0.001	1816.18	0.002
136	562.528	2288.57999999999	402.233	1686.84	583.375	2083.25999999999	33.356	1391.74	56.261	2216.21999999999	129.583	1732.78	121.111	2121.22	0.001	1795.38	0.002
137	564.19	2472.29999999999	236.982	1669.61999999999	593.447	2237.71999999999	45.522	1763.8	50.918	2435.95999999999	131.03	1721.04	193.871	2214.58	0.001	1828.62	0.002
138	562.172	1893.93999999999	213.574	1449.08	475.955	2198.95999999999	57.482	1704.62	59.436	2062.65999999999	139.884	1304.22	159.226	2087.78	0.001	1772.2	0.002
139	562.492	2032.23999999999	296.171	1510.52	406.809	2004.49999999999	44.592	1184.7	56.756	2108.53999999999	163.513	1710.98	179.543	2115.34	0.001	1816.52	0.002
140	562.234	2167.35999999999	301.209	1789.66	614.055	2442.25999999999	30.076	1814.84	59.998	1762.42	104.082	1738.03999999999	151.061	2176	0.001	1789.5	0.002
141	563.352	2113.25999999999	296.614	1649.31999999999	385.691	2102.75999999999	35.872	1522.14	58.015	2386.71999999999	120.156	1595.9	154.742	2319.56	0.001	1987.92	0.002
142	563.624	2469.17999999999	244.1	1848.2	526.705	2575.43999999999	37.616	1605.04	56.683	2519.13999999998	155.53	1718.1	116.091	2303.08	0.001	1970.62	0.002
143	563.146	2447.99999999999	262.909	1740	484.203	2645.93999999998	30.945	1689.62	44.059	2584.95999999999	114.016	1601.68	222.457	1999.42	0.001	1666.94	0.002
144	562.888	2204.37999999999	217.266	1436.9	670.647	2046.47999999999	47.001	1565.46	64.624	2432.25999999999	159.564	1951.3	112.538	1971.92	0.001	1701.2	0.002
145	563.048	2291.51999999999	333.47	1430.54	447.066	2150.47999999999	34.708	1476.74	54.206	2396.97999999999	131.268	1818.24	171.518	2142.9	0.001	1811.32	0.002
